Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5),Revenue ($),Cost_Per_Student ($),Difficulty_Level,Completion_Status
52,Course_52,AI,50,1440,92.33,LinkedIn Learning,34.63,3.49,49867.2,0.02,Medium,High
53,Course_53,Technology,39,693,78.86,edX,37.4,3.42,25918.2,0.05,Medium,High
54,Course_54,Programming,59,2172,78.11,Udemy,58.64,4.39,127366.08,0.03,Long,High
55,Course_55,Marketing,71,3016,69.91,Udemy,120.01,3.18,361950.16,0.04,Long,Moderate
56,Course_56,Finance,55,3208,62.09,Udemy,176.51,3.02,566244.08,0.06,Long,Moderate
57,Course_57,AI,15,317,68.18,LinkedIn Learning,51.57,4.57,16347.69,0.16,Short,Moderate
58,Course_58,Finance,19,913,87.56,Coursera,193.12,4.17,176318.56,0.21,Short,High
59,Course_59,Office Tools,27,4472,99.1,Coursera,131.04,4.98,586010.88,0.03,Medium,High
60,Course_60,Programming,42,779,53.13,LinkedIn Learning,147.6,4.46,114980.4,0.19,Medium,Moderate
61,Course_61,Data Science,27,304,64.31,Udemy,132.73,4.12,40349.92,0.44,Medium,Moderate
62,Course_62,Office Tools,51,572,58.28,edX,66.09,3.22,37803.48,0.12,Long,Moderate
63,Course_63,AI,54,2328,57.16,Coursera,124.26,3.1,289277.28,0.05,Long,Moderate
64,Course_64,Data Science,67,4328,81.98,LinkedIn Learning,73.05,4.47,316160.4,0.02,Long,High
65,Course_65,Technology,45,4801,54.74,Coursera,22.41,3.16,107590.41,0.0,Medium,Moderate
66,Course_66,Data Science,14,1853,56.78,Udemy,19.7,3.01,36504.1,0.01,Short,Moderate
67,Course_67,Design,87,2859,55.82,Udemy,101.23,4.06,289416.57,0.04,Long,Moderate
68,Course_68,Business,56,899,72.04,edX,74.33,4.87,66822.67,0.08,Long,High
69,Course_69,Office Tools,14,3252,67.5,Udemy,11.3,4.16,36747.6,0.0,Short,Moderate
70,Course_70,Technology,19,4683,74.62,Udemy,198.47,3.07,929435.01,0.04,Short,High
71,Course_71,Programming,41,1280,91.25,Udemy,52.22,3.56,66841.6,0.04,Medium,High
72,Course_72,AI,39,1893,89.44,LinkedIn Learning,114.89,4.52,217486.77,0.06,Medium,High
73,Course_73,Office Tools,27,3265,73.74,Udemy,118.53,3.09,387000.45,0.04,Medium,High
74,Course_74,Office Tools,23,3617,95.18,Udemy,16.15,4.65,58414.55,0.0,Medium,High
75,Course_75,Business,62,2638,53.78,LinkedIn Learning,167.45,3.13,441733.1,0.06,Long,Moderate
76,Course_76,Business,87,2878,78.94,LinkedIn Learning,161.46,3.68,464681.88,0.06,Long,High
77,Course_77,Marketing,32,815,95.65,Coursera,184.04,3.3,149992.6,0.23,Medium,High
78,Course_78,Business,74,3650,51.24,edX,91.23,3.77,332989.5,0.02,Long,Moderate
79,Course_79,Office Tools,26,955,92.92,LinkedIn Learning,71.51,3.17,68292.05,0.07,Medium,High
80,Course_80,Business,27,426,83.12,LinkedIn Learning,49.68,4.22,21163.68,0.12,Medium,High
81,Course_81,Office Tools,42,3324,56.17,Udemy,30.3,4.85,100717.2,0.01,Medium,Moderate
82,Course_82,AI,84,2244,51.22,Coursera,151.66,3.13,340325.04,0.07,Long,Moderate
83,Course_83,Office Tools,15,2588,95.79,LinkedIn Learning,65.45,4.58,169384.6,0.03,Short,High
84,Course_84,Technology,28,4011,53.39,LinkedIn Learning,195.48,3.27,784070.28,0.05,Medium,Moderate
85,Course_85,Technology,95,2161,91.01,LinkedIn Learning,147.68,3.79,319136.48,0.07,Long,High
86,Course_86,Technology,61,3161,58.91,edX,40.31,3.34,127419.91,0.01,Long,Moderate
87,Course_87,Marketing,53,197,67.0,LinkedIn Learning,129.45,3.9,25501.65,0.66,Long,Moderate
88,Course_88,Data Science,67,2896,75.09,edX,107.42,3.49,311088.32,0.04,Long,High
89,Course_89,Design,65,935,53.42,LinkedIn Learning,134.28,3.48,125551.8,0.14,Long,Moderate
90,Course_90,Data Science,42,3372,56.36,Coursera,41.1,3.41,138589.2,0.01,Medium,Moderate
91,Course_91,Design,88,3178,86.9,LinkedIn Learning,151.35,4.58,480990.3,0.05,Long,High
92,Course_92,Office Tools,63,141,55.7,Udemy,48.51,4.24,6839.91,0.34,Long,Moderate
93,Course_93,Finance,14,4684,69.13,Coursera,186.93,4.21,875580.12,0.04,Short,Moderate
94,Course_94,Technology,79,2778,75.4,Udemy,199.69,3.62,554738.82,0.07,Long,High
95,Course_95,Technology,67,1458,93.09,edX,161.25,4.42,235102.5,0.11,Long,High
96,Course_96,Programming,42,3052,52.96,Coursera,161.84,3.26,493935.68,0.05,Medium,Moderate
97,Course_97,Business,57,4616,62.61,LinkedIn Learning,140.47,3.51,648409.52,0.03,Long,Moderate
98,Course_98,Design,49,2299,88.31,Coursera,45.97,3.11,105685.03,0.02,Medium,High
99,Course_99,Design,54,4170,51.35,edX,193.19,4.04,805602.3,0.05,Long,Moderate
100,Course_100,Marketing,22,4607,51.33,Coursera,166.78,4.17,768355.46,0.04,Medium,Moderate
101,Course_101,Design,21,259,56.62,Udemy,99.32,4.67,25723.88,0.38,Medium,Moderate
102,Course_102,AI,77,861,83.22,Coursera,145.44,3.04,125223.84,0.17,Long,High
103,Course_103,Programming,25,121,93.55,LinkedIn Learning,131.15,3.31,15869.15,1.08,Medium,High
104,Course_104,Technology,78,1212,94.31,Coursera,140.02,3.92,169704.24,0.12,Long,High
105,Course_105,Data Science,47,690,71.48,edX,44.23,4.68,30518.7,0.06,Medium,High
106,Course_106,Finance,44,3237,86.86,edX,142.89,3.79,462534.93,0.04,Medium,High
107,Course_107,Programming,77,1574,95.64,LinkedIn Learning,93.71,4.91,147499.54,0.06,Long,High
108,Course_108,Design,48,4524,82.23,Udemy,179.24,4.43,810881.76,0.04,Medium,High
109,Course_109,Technology,66,3572,91.83,LinkedIn Learning,56.72,4.41,202603.84,0.02,Long,High
110,Course_110,Programming,54,1295,75.68,LinkedIn Learning,25.86,4.36,33488.7,0.02,Long,High
111,Course_111,Data Science,42,2073,82.34,LinkedIn Learning,100.91,3.71,209186.43,0.05,Medium,High
112,Course_112,Programming,100,2615,68.15,Coursera,96.46,4.98,252242.9,0.04,Long,Moderate
113,Course_113,Marketing,40,4146,52.74,edX,147.94,3.55,613359.24,0.04,Medium,Moderate
114,Course_114,Finance,45,2044,83.27,Coursera,196.04,4.95,400705.76,0.1,Medium,High
115,Course_115,Finance,36,1012,88.27,Coursera,22.68,4.7,22952.16,0.02,Medium,High
116,Course_116,AI,48,3947,90.74,Coursera,45.67,3.27,180259.49,0.01,Medium,High
117,Course_117,Technology,98,185,98.5,LinkedIn Learning,77.52,4.8,14341.2,0.42,Long,High
118,Course_118,Programming,95,2338,63.22,LinkedIn Learning,166.5,4.98,389277.0,0.07,Long,Moderate
119,Course_119,Technology,51,682,64.6,Udemy,50.06,3.02,34140.92,0.07,Long,Moderate
120,Course_120,Office Tools,51,3854,53.17,Coursera,171.91,4.84,662541.14,0.04,Long,Moderate
121,Course_121,Business,76,3164,77.4,edX,68.73,4.9,217461.72,0.02,Long,High
122,Course_122,Office Tools,23,2587,73.88,Udemy,146.54,4.06,379098.98,0.06,Medium,High
123,Course_123,Data Science,73,3293,93.33,Coursera,52.94,3.02,174331.42,0.02,Long,High
124,Course_124,Business,93,2492,98.77,edX,187.27,4.74,466676.84,0.08,Long,High
125,Course_125,Office Tools,72,3288,76.76,Coursera,135.81,4.22,446543.28,0.04,Long,High
126,Course_126,Finance,27,4896,68.98,Coursera,126.06,4.58,617189.76,0.03,Medium,Moderate
127,Course_127,Programming,34,4720,77.59,Udemy,58.21,4.44,274751.2,0.01,Medium,High
128,Course_128,Programming,28,3699,77.48,Udemy,189.98,4.58,702736.02,0.05,Medium,High
129,Course_129,Office Tools,14,1769,97.71,Coursera,36.59,3.18,64727.71,0.02,Short,High
130,Course_130,Office Tools,24,4708,65.74,Udemy,111.64,4.76,525601.12,0.02,Medium,Moderate
131,Course_131,Business,29,932,55.14,edX,68.91,4.6,64224.12,0.07,Medium,Moderate
132,Course_132,Marketing,63,1184,60.99,edX,155.88,4.24,184561.92,0.13,Long,Moderate
133,Course_133,Design,17,4875,94.33,edX,33.99,4.13,165701.25,0.01,Short,High
134,Course_134,Finance,86,1418,70.04,Coursera,157.0,3.9,222626.0,0.11,Long,High
135,Course_135,Marketing,21,2963,61.71,LinkedIn Learning,184.03,4.43,545280.89,0.06,Medium,Moderate
136,Course_136,Technology,98,2718,81.04,LinkedIn Learning,39.89,3.52,108421.02,0.01,Long,High
137,Course_137,Business,86,540,60.6,Coursera,11.54,4.34,6231.6,0.02,Long,Moderate
138,Course_138,AI,13,118,66.57,LinkedIn Learning,17.38,3.5,2050.84,0.15,Short,Moderate
139,Course_139,Business,83,497,64.7,LinkedIn Learning,151.84,4.37,75464.48,0.31,Long,Moderate
140,Course_140,AI,54,3873,67.56,Udemy,48.9,4.18,189389.7,0.01,Long,Moderate
141,Course_141,Design,94,3599,97.28,Udemy,78.28,4.42,281729.72,0.02,Long,High
142,Course_142,Office Tools,94,2987,71.09,Udemy,69.59,4.68,207865.33,0.02,Long,High
143,Course_143,Design,58,555,69.66,LinkedIn Learning,158.73,3.31,88095.15,0.29,Long,Moderate
144,Course_144,Finance,42,4539,51.6,LinkedIn Learning,27.48,3.31,124731.72,0.01,Medium,Moderate
145,Course_145,Programming,19,4832,58.11,edX,32.97,4.68,159311.04,0.01,Short,Moderate
146,Course_146,Design,27,3361,88.62,edX,192.84,4.29,648135.24,0.06,Medium,High
147,Course_147,Finance,81,3612,85.95,Udemy,115.27,4.91,416355.24,0.03,Long,High
148,Course_148,Finance,37,734,95.35,Udemy,126.29,4.78,92696.86,0.17,Medium,High
149,Course_149,Finance,68,3540,58.59,edX,190.31,4.24,673697.4,0.05,Long,Moderate
150,Course_150,Technology,76,2521,63.9,Udemy,135.58,3.43,341797.18,0.05,Long,Moderate
151,Course_151,Business,79,226,71.38,edX,113.7,4.48,25696.2,0.5,Long,High
152,Course_152,Programming,42,4090,52.65,LinkedIn Learning,86.1,4.84,352149.0,0.02,Medium,Moderate
153,Course_153,AI,51,231,88.08,Udemy,102.18,3.45,23603.58,0.44,Long,High
154,Course_154,Design,83,1418,82.52,edX,139.15,4.85,197314.7,0.1,Long,High
155,Course_155,Business,77,4134,74.79,Coursera,142.47,4.48,588970.98,0.03,Long,High
156,Course_156,Technology,48,3695,88.89,LinkedIn Learning,140.54,3.15,519295.3,0.04,Medium,High
157,Course_157,Finance,25,4082,82.34,LinkedIn Learning,124.65,3.04,508821.3,0.03,Medium,High
158,Course_158,Technology,92,909,77.6,Udemy,167.64,3.32,152384.76,0.18,Long,High
159,Course_159,Programming,100,4019,64.32,Coursera,99.34,3.29,399247.46,0.02,Long,Moderate
160,Course_160,Office Tools,33,4786,78.0,LinkedIn Learning,52.38,3.49,250690.68,0.01,Medium,High
161,Course_161,Marketing,64,1077,68.92,Udemy,170.19,4.64,183294.63,0.16,Long,Moderate
162,Course_162,Marketing,97,959,84.9,Udemy,14.37,3.96,13780.83,0.01,Long,High
163,Course_163,Marketing,58,2621,55.57,LinkedIn Learning,95.13,3.54,249335.73,0.04,Long,Moderate
164,Course_164,Office Tools,99,2774,73.66,edX,115.44,4.75,320230.56,0.04,Long,High
165,Course_165,Programming,26,3747,78.3,Coursera,159.02,3.27,595847.94,0.04,Medium,High
166,Course_166,Data Science,18,1315,68.14,edX,104.61,4.96,137562.15,0.08,Short,Moderate
167,Course_167,Finance,79,340,99.26,edX,174.28,4.64,59255.2,0.51,Long,High
168,Course_168,Data Science,32,3920,98.45,edX,84.5,3.3,331240.0,0.02,Medium,High
169,Course_169,Programming,37,276,63.08,Coursera,118.77,3.76,32780.52,0.43,Medium,Moderate
170,Course_170,Technology,70,4337,80.5,LinkedIn Learning,86.03,3.57,373112.11,0.02,Long,High
171,Course_171,Office Tools,18,4946,99.4,Coursera,64.45,4.57,318769.7,0.01,Short,High
172,Course_172,Marketing,38,2276,88.6,Udemy,113.12,4.91,257461.12,0.05,Medium,High
173,Course_173,Finance,34,1936,54.53,LinkedIn Learning,33.46,3.61,64778.56,0.02,Medium,Moderate
174,Course_174,Technology,75,1851,85.84,edX,157.44,3.38,291421.44,0.09,Long,High
175,Course_175,Design,11,105,54.3,Coursera,66.27,4.97,6958.35,0.63,Short,Moderate
176,Course_176,Programming,92,1407,65.4,edX,135.01,4.7,189959.07,0.1,Long,Moderate
177,Course_177,Finance,40,1057,91.4,Coursera,188.21,3.57,198937.97,0.18,Medium,High
178,Course_178,Office Tools,29,342,63.09,Udemy,149.5,3.99,51129.0,0.44,Medium,Moderate
179,Course_179,Office Tools,36,2475,60.15,edX,110.61,3.43,273759.75,0.04,Medium,Moderate
180,Course_180,Finance,36,386,64.41,LinkedIn Learning,139.97,4.92,54028.42,0.36,Medium,Moderate
181,Course_181,AI,13,319,85.64,Udemy,123.11,3.2,39272.09,0.39,Short,High
182,Course_182,AI,84,190,75.79,edX,117.71,3.21,22364.9,0.62,Long,High
183,Course_183,Technology,97,1316,68.84,edX,27.98,4.44,36821.68,0.02,Long,Moderate
184,Course_184,Programming,90,1042,91.55,Udemy,106.19,3.66,110649.98,0.1,Long,High
185,Course_185,Design,80,4442,72.48,edX,183.5,3.42,815107.0,0.04,Long,High
186,Course_186,Programming,30,1226,63.02,Coursera,158.15,4.75,193891.9,0.13,Medium,Moderate
187,Course_187,Finance,10,2041,63.57,Coursera,62.94,3.44,128460.54,0.03,Short,Moderate
188,Course_188,Finance,94,2555,61.79,edX,136.46,3.27,348655.3,0.05,Long,Moderate
189,Course_189,Technology,68,1169,75.22,Coursera,167.53,4.95,195842.57,0.14,Long,High
190,Course_190,Finance,65,1670,83.61,LinkedIn Learning,130.91,4.75,218619.7,0.08,Long,High
191,Course_191,Business,40,1002,55.08,LinkedIn Learning,68.84,4.87,68977.68,0.07,Medium,Moderate
192,Course_192,Data Science,51,3402,66.58,Udemy,114.57,4.9,389767.14,0.03,Long,Moderate
193,Course_193,Data Science,77,4980,92.62,Udemy,179.47,3.31,893760.6,0.04,Long,High
194,Course_194,Business,71,1024,89.02,LinkedIn Learning,92.44,4.9,94658.56,0.09,Long,High
195,Course_195,Data Science,85,4724,58.84,edX,198.17,3.87,936155.08,0.04,Long,Moderate
196,Course_196,Programming,90,4369,64.26,Udemy,89.23,4.63,389845.87,0.02,Long,Moderate
197,Course_197,Technology,98,3198,83.53,LinkedIn Learning,196.57,4.54,628630.86,0.06,Long,High
198,Course_198,AI,63,1049,65.46,edX,82.46,3.68,86500.54,0.08,Long,Moderate
199,Course_199,Data Science,61,875,85.21,edX,140.22,4.66,122692.5,0.16,Long,High
200,Course_200,Technology,33,1737,79.19,Udemy,136.49,4.46,237083.13,0.08,Medium,High
201,Course_201,Business,43,1825,91.88,Udemy,37.91,4.1,69185.75,0.02,Medium,High
202,Course_202,Finance,36,3408,78.14,Coursera,182.26,3.0,621142.08,0.05,Medium,High
203,Course_203,Technology,39,2539,97.63,Udemy,125.42,4.16,318441.38,0.05,Medium,High
204,Course_204,Finance,85,2532,68.56,LinkedIn Learning,47.96,3.15,121434.72,0.02,Long,Moderate
205,Course_205,Design,12,4873,65.65,Udemy,48.6,4.31,236827.8,0.01,Short,Moderate
206,Course_206,Finance,72,338,97.58,edX,74.55,3.09,25197.9,0.22,Long,High
207,Course_207,Programming,83,3962,94.91,edX,127.23,3.58,504085.26,0.03,Long,High
208,Course_208,Finance,49,3337,59.65,edX,35.64,4.31,118930.68,0.01,Medium,Moderate
209,Course_209,Marketing,15,2101,96.62,Udemy,133.57,4.27,280630.57,0.06,Short,High
210,Course_210,Office Tools,40,3193,89.9,LinkedIn Learning,122.06,3.72,389737.58,0.04,Medium,High
211,Course_211,Finance,35,1419,93.0,Udemy,30.0,3.5,42570.0,0.02,Medium,High
212,Course_212,Technology,62,979,69.56,Coursera,64.58,4.8,63223.82,0.07,Long,Moderate
213,Course_213,AI,60,2851,73.97,LinkedIn Learning,190.07,4.19,541889.57,0.07,Long,High
214,Course_214,Design,27,2938,89.88,LinkedIn Learning,175.01,3.76,514179.38,0.06,Medium,High
215,Course_215,Data Science,45,2775,97.54,edX,162.11,4.16,449855.25,0.06,Medium,High
216,Course_216,Design,90,2143,94.31,edX,196.35,4.1,420778.05,0.09,Long,High
217,Course_217,Finance,88,597,68.13,edX,148.39,3.32,88588.83,0.25,Long,Moderate
218,Course_218,Marketing,35,1180,74.7,LinkedIn Learning,63.47,4.11,74894.6,0.05,Medium,High
219,Course_219,Office Tools,43,4685,67.71,LinkedIn Learning,116.95,3.83,547910.75,0.02,Medium,Moderate
220,Course_220,Programming,80,2334,89.45,edX,19.92,4.49,46493.28,0.01,Long,High
221,Course_221,Data Science,21,1578,96.56,Coursera,75.25,4.43,118744.5,0.05,Medium,High
222,Course_222,Design,60,1758,85.76,edX,68.14,4.2,119790.12,0.04,Long,High
223,Course_223,Design,49,1047,87.77,Udemy,109.55,3.05,114698.85,0.1,Medium,High
224,Course_224,Programming,52,3448,79.39,Coursera,46.71,3.51,161056.08,0.01,Long,High
225,Course_225,Technology,62,2956,58.49,edX,116.75,3.15,345113.0,0.04,Long,Moderate
226,Course_226,Technology,44,3173,98.54,Coursera,78.98,3.84,250603.54,0.02,Medium,High
227,Course_227,Finance,69,3648,81.44,Udemy,50.27,4.71,183384.96,0.01,Long,High
228,Course_228,Marketing,49,1993,92.53,Udemy,188.76,4.17,376198.68,0.09,Medium,High
229,Course_229,Finance,88,4481,70.37,Coursera,170.21,3.8,762711.01,0.04,Long,High
230,Course_230,Finance,35,929,73.27,Udemy,141.79,4.79,131722.91,0.15,Medium,High
231,Course_231,Business,10,1574,57.15,LinkedIn Learning,24.4,3.03,38405.6,0.02,Short,Moderate
232,Course_232,Design,39,2019,97.15,Coursera,118.7,4.45,239655.3,0.06,Medium,High
233,Course_233,Technology,67,457,65.75,LinkedIn Learning,28.17,3.17,12873.69,0.06,Long,Moderate
234,Course_234,Marketing,36,343,75.11,Coursera,12.86,4.81,4410.98,0.04,Medium,High
235,Course_235,Finance,87,420,73.87,edX,68.02,3.75,28568.4,0.16,Long,High
236,Course_236,Technology,69,1722,95.56,Coursera,59.25,4.32,102028.5,0.03,Long,High
237,Course_237,Design,20,1279,84.77,edX,86.85,4.45,111081.15,0.07,Medium,High
238,Course_238,Technology,100,2781,90.19,Udemy,127.39,3.67,354271.59,0.05,Long,High
239,Course_239,Programming,98,1321,97.77,edX,167.12,3.29,220765.52,0.13,Long,High
240,Course_240,Programming,83,1159,67.82,edX,18.91,3.84,21916.69,0.02,Long,Moderate
241,Course_241,Business,29,2739,60.65,Udemy,193.35,3.81,529585.65,0.07,Medium,Moderate
242,Course_242,Programming,91,2243,95.83,Udemy,114.64,4.59,257137.52,0.05,Long,High
243,Course_243,Programming,37,302,56.03,edX,196.89,4.3,59460.78,0.65,Medium,Moderate
244,Course_244,Technology,59,2748,92.52,Udemy,77.87,4.02,213986.76,0.03,Long,High
245,Course_245,Programming,34,2009,76.67,Coursera,160.47,4.63,322384.23,0.08,Medium,High
246,Course_246,Technology,36,2713,60.34,edX,101.19,3.34,274528.47,0.04,Medium,Moderate
247,Course_247,Design,61,1375,84.51,edX,73.4,3.24,100925.0,0.05,Long,High
248,Course_248,Data Science,36,248,81.66,Coursera,183.85,4.68,45594.8,0.74,Medium,High
249,Course_249,Data Science,21,2758,92.7,LinkedIn Learning,59.45,3.68,163963.1,0.02,Medium,High
250,Course_250,Data Science,41,4862,55.09,Udemy,157.69,3.06,766688.78,0.03,Medium,Moderate
251,Course_251,Marketing,68,1427,95.82,edX,101.48,3.91,144811.96,0.07,Long,High
252,Course_252,Business,97,4358,94.22,Coursera,58.17,4.16,253504.86,0.01,Long,High
253,Course_253,Business,48,3335,74.78,Udemy,38.03,3.24,126830.05,0.01,Medium,High
254,Course_254,Technology,76,119,64.18,Coursera,175.36,4.28,20867.84,1.47,Long,Moderate
255,Course_255,Business,94,1604,55.14,Coursera,108.72,4.75,174386.88,0.07,Long,Moderate
256,Course_256,Programming,77,3044,50.18,Udemy,112.38,3.97,342084.72,0.04,Long,Moderate
257,Course_257,Data Science,53,3793,97.66,Coursera,61.13,3.19,231866.09,0.02,Long,High
258,Course_258,Design,62,1326,96.14,edX,62.78,3.1,83246.28,0.05,Long,High
259,Course_259,Programming,21,388,50.74,edX,83.14,3.34,32258.32,0.21,Medium,Moderate
260,Course_260,Finance,42,4054,70.09,Udemy,119.75,3.73,485466.5,0.03,Medium,High
261,Course_261,Office Tools,83,2660,57.66,LinkedIn Learning,85.62,3.81,227749.2,0.03,Long,Moderate
262,Course_262,Technology,16,1627,74.36,Coursera,135.7,3.68,220783.9,0.08,Short,High
263,Course_263,Office Tools,79,3294,69.1,Udemy,189.15,3.75,623060.1,0.06,Long,Moderate
264,Course_264,Data Science,35,3410,86.31,edX,183.94,3.88,627235.4,0.05,Medium,High
265,Course_265,Technology,83,4696,73.69,Udemy,150.64,3.01,707405.44,0.03,Long,High
266,Course_266,Design,91,4473,59.18,Coursera,100.67,3.26,450296.91,0.02,Long,Moderate
267,Course_267,Design,100,2943,62.64,Udemy,165.55,4.32,487213.65,0.06,Long,Moderate
268,Course_268,Office Tools,55,143,83.77,Coursera,189.46,4.59,27092.78,1.32,Long,High
269,Course_269,Programming,17,3238,64.67,Coursera,37.19,3.38,120421.22,0.01,Short,Moderate
270,Course_270,Business,24,3757,87.59,Coursera,146.9,3.58,551903.3,0.04,Medium,High
271,Course_271,Technology,21,4298,58.36,Udemy,176.3,4.94,757737.4,0.04,Medium,Moderate
272,Course_272,Office Tools,93,1165,58.1,LinkedIn Learning,199.2,4.83,232068.0,0.17,Long,Moderate
273,Course_273,Data Science,94,1884,92.7,edX,19.58,4.91,36888.72,0.01,Long,High
274,Course_274,Finance,85,2105,92.92,Coursera,79.94,3.27,168273.7,0.04,Long,High
275,Course_275,Programming,67,2739,66.03,Udemy,121.13,3.21,331775.07,0.04,Long,Moderate
276,Course_276,Office Tools,53,4828,58.64,edX,124.61,4.07,601617.08,0.03,Long,Moderate
277,Course_277,Design,37,2506,77.51,Udemy,146.4,3.3,366878.4,0.06,Medium,High
278,Course_278,Design,91,4995,70.37,edX,74.77,3.02,373476.15,0.01,Long,High
279,Course_279,Business,19,3860,81.27,Coursera,19.72,3.65,76119.2,0.01,Short,High
280,Course_280,Technology,29,2559,63.78,edX,171.46,3.82,438766.14,0.07,Medium,Moderate
